JobID,Title,Company,Salary,Location,Posted_Date,Skills,Benefits,Description,Experience_Requirements,Link
76b514de0d4bdd61546477442549d8c328fca49d42323dd56077a76b36cba8ad,AI Intern,CoverGo | Insurtech,Not specified,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2025-06-30,"AI, Data Analysis, Python, Business Analysis, QA QC",Not specified,"About the job About The Role We are seeking highly motivated interns to support our AI team in building and scaling robust evaluation pipelines for a variety of real-world AI use cases. This internship offers a unique opportunity to work at the intersection of AI, data analysis, and domain understanding , with room to grow into more technical tasks for those with programming skills. This role is ideal for students or recent graduates looking to gain hands-on experience in the AI/tech space, especially those aspiring to become Business Analysts, Quality Assurance Engineers, Developers, or Product Owners . Internship Objective The goal of this internship program is to accelerate the testing and validation of AI solutions by leveraging intern support to ensure outputs are accurate, reliable, and ready for production deployment . Internship Duration: Fixed term of 2-3 months Key Responsibilities As an AI Evaluation Intern, you will: Domain Analysis: Analyze business documents such as insurance policies, claim forms, and financial reports to understand structure, logic, and extract key information. Evaluation Data Creation: Design structured test datasets, define ground truth data for validation, and create Q&A pairs to evaluate AI models' reasoning and comprehension. AI Model Testing: Run systematic tests on various AI models, evaluate performance, and identify potential gaps and areas for improvement. Creative Problem Solving: Challenge AI systems with edge cases and complex scenarios to expose weaknesses and help refine model behavior. (Optional - for those with coding skills) Develop scripts to automate evaluation processes Assist in building evaluation pipelines Support data processing and basic model testing infrastructure Who We're Looking For Ideal candidates are: Analytical Thinkers: Able to think logically and critically, especially when designing test cases and analyzing results. Detail-Oriented: Careful and precise in handling data, validation tasks, and documentation. Curious About AI & Technology: Passionate about the potential of artificial intelligence and how it applies to real-world problems. Self-Motivated & Communicative: Comfortable working independently in a remote environment, yet proactive in seeking feedback and collaboration. Students or Recent Graduates: Preferably located within the Asia timezone for better coordination. Technical Requirements Coding skills are not required, but a strong plus. Candidates with programming knowledge (Python preferred) will have the opportunity to work on more technical and impactful components of the evaluation pipeline. What You'll Gain Hands-on experience in AI model validation and testing Exposure to real-world use cases and diverse datasets Practical skills in data analysis, structured evaluation design, and quality assurance Mentorship from experienced AI engineers and product team members Opportunity to contribute to production-ready AI infrastructure",Not specified,https://www.linkedin.com/jobs/view/4257236903/
fceb2dce2f06fb4bb5c07ac20e230b2457e839daf5db28052457e9714e99db7d,HCM – Data Analyst Intern,Vexere.com - Vietnam's largest online bus ticketing platform,Not specified,Ho Chi Minh City Metropolitan Area,2025-07-29,"Data Analysis, SQL, Power BI, Tableau, English",Not specified,"About the job Data Analyst Intern Vexere is a technology company aiming to revolutionize the tourism and transportation industry in Vietnam. Today Vexere is the largest online bus ticketing platform empowering millions of travelers to make their life journey happier. As Vexere’s BI team member, you will work in a high-tech company (Google Cloud tech stack) environment with a golden chance to analyze data lakes with around 30 million Vietnam users and work with millions of daily records from our awesome users. Your Responsibilities Will Include Extract, manipulate, and analyze data to answer tactical questions using data techniques Develop dashboards to monitor business performance and produce actionable insights in terms of product capabilities and business direction Requirements Final year students Non-stop curiosity and hunger for learning Familiarity with visualization tools (Data Studio, Tableau, Power BI, etc) Strong knowledge of SQL (Bigquery, Microsoft SQL Server, Postgresql, etc.) Analytical mind with a problem-solving aptitude Teamwork spirit and proactive mindset BSc/BA in Computer Science, Engineering, Mathematics, Economics, Information Management, or Statistics,or a related profession is greatly appreciated Benefits Internship allowance (depending on ability) Support for commenting on reports and internships Hybrid Working Special discounted bus tickets for employees and their family members. Other perks to be discussed during the interview. What factors can help you trust Vexere? Currently, Vexere is the largest online bus ticketing platform in Vietnam with more than 1000 inter-city bus companies, covering over 3,000 domestic and cross-border routes to help users find bus information and buy tickets online easily. At the same time, Vexere also provides reviews of passengers who have traveled these buses. Passengers can simply select their favorite seats, pay online, or pay in cash at convenience stores across the country. Vexere Bus Management System (BMS) is used by more than 700 bus companies all over the country, helping bus companies to modernize management with effective management, optimized revenue, and costs. This is a revolution in the inter-city bus industry. Over 5,000 agents use Vexere Agent Management System to increase ticket sales and better serve their customers. Vexere’s efforts have been recognized and accompanied by famous institutional investors such as Woowa Brothers (the company owning Baemin), CyberAgent ventures (Japan), BonAngels (Korea), Pix Vine Capital (Singapore), Spiral Ventures (Japan), Access Ventures (Korea), NCore Ventures (Korea). Two investors of VeXeRe are Decacorns (>USD10B valuation) Review về Vexere For More Information, Please Contact Us Via Send your Resume to email: careers@vexere.com, with the title: Fullname – Applied Position Phone/ Zalo: 0909 86 54 71 (Trân) Office Location: Vexere Trading Service Co., Ltd – 2nd floor – Building H3, 384 Hoang Dieu, Khanh Hoi Ward, HCMC (District 4) Working Hours: Hybrid Working 8:30 am – 6:00 pm from Monday to Friday, and Saturday morning.",Not specified,https://www.linkedin.com/jobs/view/4273201899/
48f2cbb62699217a778130d28d7147601a859ca8413b2cc5cacf719f5b27aedd,AI Engineer,OPSWAT,Not specified,Ho Chi Minh City Metropolitan Area,2025-07-23,"Generative AI, LLM, Machine Learning, JavaScript, Python",Not specified,"About the job Protecting the World’s Critical Infrastructure OPSWAT, a global leader in IT, OT, and ICS critical infrastructure cybersecurity, delivers an end-to-end platform that gives public and private sector organizations and enterprises the critical advantage needed to protect their complex networks, secure their devices, and ensure compliance. Over the last 20 years our commitment to innovative technology has earned the trust of more than 1,700 organizations, governments, and institutions globally, solidifying our role in protecting the world’s critical infrastructure and securing our way of life. The Position OPSWAT is committed to harnessing the power of AI to drive meaningful advancements across all areas of our business . We are currently seeking a highly skilled AI Engineer to lead and support the development of AI-driven projects, with a key focus on integrating our in-house AI Insights platform with various enterprise systems. In this role, you will work closely with the Digital Transformation Team, Customer Experience (CX) Team, and the Enterprise & Data Team to enhance system integrations between Salesforce Service Cloud and other critical business platforms. This is a unique opportunity to be at the forefront of AI innovation within a global cybersecurity company, delivering impactful solutions that improve efficiency, intelligence, and customer outcomes. What You Will Do Development and Evolution of the AI Insights Project: Participate in the development and continuous improvement and expansion of AI Insights - our in-house tool to analyze all go-to-market data. Initially, the project focuses on analyzing Salesforce data to extract meaningful insights that can inform strategic decision-making across the organization. Gradually, it will ingest more business data from JIRA, Hubspot, My OPSWAT to make it more useful. Work with Digital Transformation Team to integrate AI Insights feature with Salesforce and other CRM platform. Work closely with CX leaders to implement agent coaching tool and customer intelligence analysis. Create tools to suggest solutions to customer support engineers, analyze customer sentiments, writing knowledge base. Development of Chatbot Platform: Responsible for the development, continuous improvement and maintenance for chatbots deployed for customer support, academy, and various internal integrations on Botpress. Develop custom extensions for chatbot to expand its capabilities, such as file upload integration for our MFT product, extensions to integrate with AI Insights, extensions to leverage our data lake. Train and fine-tune a custom LLM model with deep understanding of OPSWAT products and cybersecurity world. Develop & Manage Custom Integrations with CRM platform Research & Propose Innovative Solutions: exploring and implementing novel AI techniques and automation solutions to increase CX operational efficiency rather than relying solely on off-the-shelf products. What We Need From You Bachelor's degree in Computer Science, Software Engineering, or a related field. 5+ years of experience in software engineering, with a focus on Generative AI, LLM, Machine Learning and web app development. Experience chatbot development platforms (Botpress, Microsoft Bot Framework, etc.) Experience in training custom LLMs Experience developing integrations for CRM Platforms like Salesforce, Hubspot, Netsuite Solid understanding of software development methodologies (Agile, Scrum, etc.). Good communication, collaboration, and interpersonal skills. Strong problem-solving and analytical skills. Ability to work independently and as part of a team in a fast-paced environment. Proficiency in one or more of the following programming languages: React, Python, Javascript, Node.js. It Would Be Nice if You Have Certifications in AWS and Azure architecture Experience in front-end development Experience in data lake technologies (e.g., Azure Data Lake Storage, Azure Data Factory, Azure Databricks, Azure Synapse Analytics). Experience in designing customer support/customer service chatbots. OPSWAT is an equal opportunity employer. We celebrate diversity and are committed to providing an environment where equal employment opportunities are extended to all employees and applicants, free of discrimination and harassment of any type. All employment decisions are based on individual qualifications, job requirements, and business needs without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other category protected by federal, state, or local laws. Recruiting Agencies: we do not accept unsolicited resumes from third party agencies for any of our open positions. To submit resumes for our jobs, there must be a recruiting contract approved by our legal team and endorsed by both parties. We are currently not accepting additional 3rd party agencies at this time.",5+ years,https://www.linkedin.com/jobs/view/4268514168/
bb8d268b4dcabe467bf44e0e01d490b2774ad624ffcfaad2033bce1fc13201c0,AI ENGINEER INTERN,Orient Software Development Corp.,Not specified,Ho Chi Minh City Metropolitan Area,2025-07-02,"AI, Machine Learning, Python, TensorFlow, PyTorch",Not specified,"About the job AI Engineer Intern 12025-07-31 Apply Now Responsibilities Understand the AI problems, challenge of existing technologies and areas of application for AI technologies. Identify and choose right AI or cognitive computing technologies for solving specific problem. Develop required machine learning models or prototype applications applying formulated AIrecipes and verify the problem/solution fit. Complete an end-to-end AI project. Requirements Interested in working, research in AI field. Able to join a 3-month full-time internship Basic knowledge in Calculus. Advanced English Skills and able to communicate fluently Basic knowledge of Python (any other languages like C++, JavaScript are a plus), experiencedin data library such as Numpy, Pandas, … or deep learning framework TensorFlow, PyTorch, Keras is a plus. Experience in deploying Artificial Intelligence/Machine Learning systems is a plus. Knowledge of modern Artificial Intelligence techniques (object detection, natural language processing,…) Possess Frontend skills is a plus. What We Offer Chance to become official staff and join real project Attractive Monthly Allowance Premium Healthcare Package Mentor 1-1 with exclusive training program Free breakfast and snacks Team-building allowance BACK TO CAREERS",Not specified,https://www.linkedin.com/jobs/view/4257985937/
bf8d645c633416b98d89468b971b308a886b93ceba52edbfa21e7fe36da9e639,AI Engineer,Adamo Software,"20,000,000 – 30,000,000 đ/tháng","Hanoi, Hanoi, Vietnam",2025-07-16,"AI, NLP, Python, Machine Learning, Deep Learning",Not specified,"About the job Mô tả công việc *Xử lý dữ liệu và xây dựng mô hình: Tiền xử lý dữ liệu phục vụ huấn luyện và đánh giá mô hình AI (LLM, NLP, CV,…). Xây dựng và triển khai các mô hình deep learning / LLM phù hợp với từng bài toán cụ thể. *Theo dõi và tối ưu hóa mô hình: Theo dõi hiệu suất mô hình AI trong môi trường thực tế. Thực hiện các điều chỉnh, cải tiến để liên tục nâng cao chất lượng mô hình. *Phát triển và tích hợp AI: Tích hợp các mô hình AI vào ứng dụng, sản phẩm thực tế. Thiết kế, phát triển AI Agents sử dụng GPT models, tích hợp cùng các RAG frameworks. Triển khai mô hình Multi-Agent với phân tách nhiệm vụ rõ ràng và điều phối hiệu quả. *Nghiên cứu và cập nhật công nghệ: Nghiên cứu các phương pháp, kiến trúc, framework mới trong lĩnh vực AI/LLM. Thử nghiệm, đánh giá và áp dụng công nghệ mới vào sản phẩm/dự án. Yêu cầu công việc Tốt nghiệp Đại học chuyên ngành Trí tuệ nhân tạo, Khoa học máy tính, Công nghệ thông tin, Toán Tin hoặc tương đương. Có hiểu biết chắc chắn về Machine Learning, đặc biệt là NLP và các mô hình ngôn ngữ lớn (LLMs). Từ 2 năm kinh nghiệm làm việc trong lĩnh vực AI Có kinh nghiệm xây dựng, tối ưu và triển khai các pipeline AI end-to-end Thành thạo Python, kỹ năng research tốt Có kinh nghiệm sử dụng các thư viện và framework như: PyTorch, TensorFlow, Hugging Face. Thành thạo trong việc xây dựng hệ thống RAG, làm việc với các Vector DB như FAISS, ChromaDB, Qdrant,… Hiểu rõ và có kinh nghiệm với các công cụ/framework: OpenAI API, LangChain, LlamaIndex, v.v. Hiểu biết về các giao thức tích hợp MCP, A2A, … + Có kinh nghiệm triển khai Agent / Multi-Agent frameworks như LangGraph, CrewAI, AutoGen,… Có hiểu biết hoặc từng triển khai MLOps/LLMOps là lợi thế. Có khả năng làm việc nhóm tốt, làm việc độc lập hiệu quả. Có khả năng giao tiếp tiếng anh trong công việc ở mức khá. Chế độ đãi ngộ Mức lương hấp dẫn: 20,000,000 – 30,000,000 đ/tháng. Thử việc 90% lương. Thời gian làm việc: Thứ 2 – thứ 6. Tháng lương thứ 13 Review lương 2 lần/năm Thưởng các dịp lễ Tết, thưởng quý, thưởng thâm niên Quà tặng dịp sinh nhật cá nhân Cơ hội được học hỏi, làm việc với công nghệ mới Được làm việc trong một môi trường chuyên nghiệp với các đối tác nước ngoài Du lịch, teambuilding 2-3 lần/năm Khám sức khỏe định kỳ cho nhân viên chính thức Hỗ trợ tham gia các khóa đào tạo nâng cao kiến thức và kỹ năng Cách thức ứng tuyển: Gửi CV về địa chỉ email hien.nt@adamosoft.com hoặc liên hệ contact Zalo: 0961 970 576",Từ 2 năm,https://www.linkedin.com/jobs/view/4263795081/
707353e78d5061101cf1f14f1fc785c71d42ae2e912acae2ff9ec7ab40dd3ced,MLOps Intern,Trusting Social Career Page,Competitive salary and benefits,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2025-07-29,"MLOps, Docker, Kubernetes, Python, Git",Not specified,"About the job We are looking for an enthusiastic and motivated MLOps Intern to join our growing AI Platform team. This is a fantastic opportunity to develop your skills in modern machine learning infrastructure and DevOps practices while making a real impact on our engineering and AI development workflows. You will help build and maintain the infrastructure and automation that power our machine learning systems. This includes working on CI/CD for ML models, containerized deployments, model monitoring, and collaboration with AI engineers to support production-grade pipelines. If you're excited about the intersection of ML and operations and want to learn in a real-world setting, this role is for you. What You Will Do ML Pipelines and CI/CD: Assist in building and maintaining ML model training and deployment pipelines using tools like MLflow, GitLab CI, or GitHub Actions. Containerization and Deployment: Help containerize ML services using Docker, and support deployment via Kubernetes under guidance. Cloud Infrastructure for AI: Collaborate with the AI team to provision and configure cloud resources (AWS, GCP, or Azure) for experimentation and model serving. Monitoring and Observability: Help set up monitoring and logging for ML systems using tools like Prometheus, Grafana, and OpenTelemetry. Data and Model Versioning: Assist with managing datasets and models using version control tools like DVC or Weights & Biases. Automation and Tooling: Contribute to internal tools that streamline AGI workflows and enhance productivity across AI infrastructure, especially in support of the AGI US and XPlatform projects What You Need To Have Currently pursuing a Bachelor's degree in Computer Science, Data Engineering, or a related field, or equivalent practical experience. Strong knowledge of networking and Linux operating system fundamentals. Hands-on experience with Docker and Kubernetes (required). Exposure to one or more cloud platforms (AWS, GCP, Azure). Programming or scripting skills in Python, Golang, or TypeScript. Interest in MLOps, automation, and infrastructure for machine learning. Comfort using the Linux command line. Nice-to-Have: Personal projects or internship experience in ML infrastructure, DevOps, or platform engineering. Familiarity with version control (Git) and collaborative coding workflows. An understanding of the ML lifecycle and tools like MLflow, Airflow, or DVC. Interest in scaling infrastructure for AI/ML applications and working on AGI-related initiatives. What You Will Get Strong mentorship from experienced MLOps and platform engineers. A welcoming environment that encourages learning and experimentation. Hands-on exposure to real-world ML infrastructure and DevOps tools. A clear growth path within the engineering team. Competitive salary and benefits. About Us We are an AI Fintech company specialized in assessing credit profiles of consumers in emerging markets combining pioneering AI with large alternative data sources. In 2020 we reached our ambitious milestone of credit profiling 1 billion consumers spanning 4 countries - Vietnam, Indonesia, India & the Philippines - and building a platform for the wider industry and the financial services industry, in particular, to provide the ""un & under"" served access to credit. At the core of this initiative has been our strict and unwavering adherence to the norms of consumer data privacy and consumer data rights. But we're not satisfied as we embark on the next leg of our journey to deliver 100 million credit lines to consumers in the markets where we operate. Although this goal is ambitious, we truly believe that by harnessing the power of AI & Big Data we can deliver financial access at an unprecedented scale. As a firm, we're audacious problem-solvers motivated by our impact on society. We deeply espouse the values of ownership - of our actions and initiatives, integrity in all we do, and agility in execution. We place great importance on doing what is right, what is best, and what is innovative. If you are smart, driven, and want to make a difference in the world with the most advance and fascinating technology, come join our team. We can satisfy your desire to explore new territory and give you the runway to really make an impact. Additional Info Learn more about us here: https://www.youtube.com/watch?v=inAEDGvOcL8&t=29s",Not specified,https://www.linkedin.com/jobs/view/4273219537/
ff03d59693fcc30425c857f827c8d4a30cd397b68fc0e68c408def07a6ecc2a6,Middle AI Engineer (Data Science AI),MTI Technology,Not specified,Ho Chi Minh City Metropolitan Area,2025-07-23,"AI, Machine Learning, Deep Learning, Python, NLP",Not specified,"About the job General Information As a Mid-Level AI Engineer, you will build upon foundational knowledge to independently design, develop, and maintain AI systems. You are adept at leveraging machine learning algorithms and deep learning frameworks, capable of taking a specific project, breaking it down into necessary steps, and executing them autonomously. You serve as a crucial bridge between high-level concepts and detailed implementation, ensuring the successful execution of AI initiatives. Key Responsibilities Work closely as a project team to lead in the entire lifecycle of data science projects, from gathering business requirements to solution delivery, and deliver project outcomes to internal stakeholders or external customers. Engages with clients to understand business needs, present findings, and align technical work with stakeholder goals. Owns planning of assigned modules, contributes to task breakdown, estimation, and milestone alignment, and supports backlog grooming discussions. Leads development of a complete module or sub-system (e.g., full model training pipeline or certain solution direction). Can propose solution design, test, and iterate independently. Coordinates with project lead to align with project needs. Provides structured feedback to junior members, supports onboarding, and contributes to skill-building within the project team. Proactive in contributing to the growth of internal capabilities (e.g., training, knowledge-sharing, framework design). Designing and implementing AI solutions for customer use cases, often leveraging core products and frameworks specific to the company (e.g., Google's TensorFlow, DataFlow, and Vertex AI). Developing scalable AI systems and designing/building algorithms that automate predictive data models. Creating and managing the AI development and production infrastructure, including automating AI infrastructures for data science teams. Building AI models from scratch and transforming machine learning models into APIs that can be seamlessly integrated with other applications. Leading software engineering efforts for AI systems, which involves writing production-ready code optimized for existing and upcoming architectures (e.g., Intel architectures). Participating in all phases of AI solutions development, from requirements definition and design to development, deployment, integration, maintenance, performance tuning, and monitoring. Collaborating extensively with cross-functional teams, including data scientists, software engineers, and product managers, to define project requirements, ensure seamless progress, and facilitate AI adoption and best practices. Driving scalability improvements and introducing new capabilities in machine learning platforms, often working across the full stack on tools and infrastructure that empower machine learning teams. Conducting statistical analysis and interpreting results to guide and optimize organizational decision-making processes. Required Skills & Qualifications A Bachelor's degree in Computer Science, Computer Engineering, Artificial Intelligence, Data Science, or a closely related field is generally required; Master’s degree preferred. Generally at least 3 years of professional software development or AI/ML engineering experience. A deep understanding of ML algorithms and proficiency with various deep learning frameworks (TensorFlow, PyTorch, Keras, Scikit-learn, Hugging Face, JAX, Ray). Knowledge of common model architectures, including encoders, decoders, and transformers, is also expected. Experience working with large-scale and real-world datasets. Familiarity with cloud platforms (AWS, Azure, GCP) is increasingly important. Hands-on experience with containerization technologies (Docker, Kubernetes) and Continuous Integration/Continuous Deployment (CI/CD) flows is highly valued for production environments. Knowledge of backend infrastructure components such as databases, caching mechanisms, and message brokers is also beneficial. Experience in Generative AI models (LLMs, VLMs, Transformers), Natural Language Processing (NLP), Computer Vision, Reinforcement Learning, and Speech/Audio processing is frequently sought. Excellent interpersonal and communication skills are crucial for effective collaboration with cross-functional teams and stakeholders. The ability to work independently, troubleshoot complex issues, and mentor more junior team members is also expected. Strong problem-solving skills and a data-driven mindset are fundamental. Familiarity with agile delivery practices is a plus.",Generally at least 3 years,https://www.linkedin.com/jobs/view/4269378286/
6e80a415107b235dfd311a84dbaf346e91198669aa706f43cee4ef74e11e7bad,Trainee,Nokia,Not specified,"My Tho, Vietnam",2025-07-23,Not specified,Not specified,"About the job Job Description About The Team Cloud and Network Services: As Nokia's growth engine, we create value for communication service providers and enterprise customers by leading the transition to cloud-native software and as-a-service delivery models. Our inclusive team of dreamers, doers and disruptors push the limits from impossible to possible. About The Role Join us as a Student Intern and be part of the team delivering next generation 4G/5G Core network solutions. You’ll assist with the end-to-end implementation of telecom projects and gain firsthand knowledge of technologies behind VoLTE and Packet Core services. This internship is ideal for students eager to explore the telecom domain and develop core technical and project skills in a supportive, team-driven environment. How You Will Contribute And What You Will Learn How You Will Contribute and What You Will Learn Support the development of automation frameworks to streamline 4G/5G Core network deliveries Gain hands-on experience in telecom delivery processes, with a focus on VoLTE and Packet Core solutions Explore the application of AI concepts in telecom network operations and automation Learn and assist in the integration, deployment, and testing of Core Network components Strengthen your understanding of telecom infrastructure and develop key technical and problem-solving skills Key Skills And Experience Key Skills and Experience You have: Strong analytical and problem-solving skills Effective interpersonal skills and clear communication, both written and verbal Basic understanding of networking concepts, including TCP/IP Foundational knowledge of telecom networks, especially 4G and 5G technologies Familiarity with Linux/Unix environments Awareness of virtualization technologies and cloud computing fundamentals Understanding of relational databases (RDBMS) and basic database management Exposure to at least one programming or scripting language (e.g., JavaScript or Python) Basic awareness of AI/ML concepts and their applications It would be nice if you also had: Passion for the telecom industry and eagerness to learn in a fast-paced environment Previous academic or project experience related to networking, telecom, or cloud infrastructure Ability to work collaboratively in a team and adapt to new challenges quickly About Us Come create the technology that helps the world act together Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world. We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work What we offer Nokia offers continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered. Nokia is committed to inclusion and is an equal opportunity employer Nokia has received the following recognitions for its commitment to inclusion & equality: One of the World’s Most Ethical Companies by Ethisphere Gender-Equality Index by Bloomberg Workplace Pride Global Benchmark At Nokia, we act inclusively and respect the uniqueness of people. Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law. We are committed to a culture of inclusion built upon our core value of respect. Join us and be part of a company where you will feel included and empowered to succeed.",Not specified,https://www.linkedin.com/jobs/view/4256645738/
db1162b0cb509dd59004bcf03c760a4e827500c8cf0860ee5d59414a67419539,"Automation Tester (Automotive domain, English, Python)",LG Electronics R&D Vietnam,UP TO 16.5 MONTHS OF SALARY,Hanoi Capital Region,2025-07-26,"Automation Test, Python, Linux, English, Tester",Not specified,"About the job Life's Good at LG! LG Electronics Development Vietnam (LGEDV) produces high-quality in-car infotainment systems that deliver both information and entertainment on-the-go for many of the world’s biggest automobile brands. LGEDV conducts core R&D activities, and various product reliability tests in support of our vehicle component business. With the key missions of offering an environment that enables colleagues to demonstrate their capabilities, focus on their work and create value & delivering the “invaluable” office operation services & solutions that contributes to a company’s business success. As member of Automation Test Team, you will be responsible for testing software for Automotive domain as below: Analyze software project requirements in Automotive (Telematics, AVN, Cluster); Create/update test scripts for testing. Setup test environment; execute automation test scripts and ensure about automation test result reliability. Log, verify & manage defects on defect tracking system Follow test leader’s assignments. Escalate testing risks and issues Qualifications & Requirements Bachelor's degree in Information Technology, Computer Science, Computer Engineering, Electronics Engineering, Telecommunication Engineering or equivalent; ect. Ability to read and understand English documents specialized in IT field. English: Basic conversational skills is required, intermediate preferred Has good logical thinking. Good at software programming, Python language is preferred. (Had experience in development position is a plus) Good knowledge about Linux Had knowledge about RegEx is a plus. BENEFIT HYBRID WORKING: Employees can split time between working in the office and working from home; 5 working days/week: Mon – Fri with FLEXIBLE WORKING TIME; Total remuneration package: UP TO 16.5 MONTHS OF SALARY; Support for lunch and other ALLOWANCES (Coding Expert, Technical leader, phone...); Annual salary review; 12 days of annual leave & ADDITIONAL 8 DAYS OF COMPANY HOLIDAYS; Premium health care & accident insurance; Support fee to get TOEIC & technical certifications (ISTQB, Agile Scrum...); On-site & training opportunities abroad; Company trip, sporty clubs (zumba, football, pingpong, badminton,...); Monthly budget for team activities, etc.; LG Gram. 📍 Office: 17F - 21F Office Lobby, Lotte Mall West Lake, 272 Vo Chi Cong, Tay Ho, Hanoi.",Not specified,https://www.linkedin.com/jobs/view/4270154806/
6db7bad637bdf7c6a16ad20b69da6b6c263f991b08299946672383dc79047bad,AI Consultant,CMC Global Company Limited.,Negotiable,Hanoi Capital Region,2025-07-30,"NLP, LLM, Python, Machine Learning, English",Not specified,"About the job About CMC Global CMC Global is a leading IT services provider in Vietnam and a member of CMC Corporation –one of the top technology groups in Southeast Asia. With a team of over 3,000 engineers and offices in Vietnam, Japan, Korea, and Singapore , we deliver high-quality services in software outsourcing, system integration, enterprise solutions, and digital transformation to clients across the EU, US, and APAC . We are committed to becoming a trusted technology partner that helps global businesses accelerate innovation and business growth. 🔗 Learn more about us: Website: https://cmcglobal.com.vn LinkedIn: https://www.linkedin.com/company/cmc-global Facebook: https://www.facebook.com/CMCGlobalCorporation CMC Corporation: https://cmc.com.vn What you will do: Researching and prototyping State-of-the-Art projects in NLP/LLM to solve complex problems Mentoring junior engineers Collaborate with pre-sates, data researchers and software engineers Stay up to date with the latest advancements in AI , NLP and LLM technologies to sharpen your skills and share with the team Develop and maintain AI-related solution and documentation Assist in documenting processes and results for knowledge sharing within the team. Communicate technical concepts to non-technical stakeholders. Qualifications Bachelor's or Master's degree in Computer Science, Mathematics, or related field 5+ years of experience in Machine Learning and AI development.(2 years experience in LLM) Strong understanding of machine learning algorithms and techniques, such as GenAI/LLMs Solid experience with NLP and Large Language Models (LLMs). Proficiency in programming languages such as Python, R, or Java. Experience working with Generative AI APIs like OpenAI (ChatGPT), LLaMA, etc. Knowledge of Computer Vision is a plus. A track record of designing and deploying AI solutions that drive business value. Strong analytical and problem-solving skills. Understanding of data structures, algorithms, and software engineering principles. Understanding of software development, familiarity with cloud platforms like AWS, Google Cloud, or Azure Proficient in English, both written and spoken Understanding of software development, familiarity with cloud platforms like AWS, Google Cloud, or Azure",5+ years,https://www.linkedin.com/jobs/view/4273552536/
